;DATE;year;month;day;hour;TMP;WND;CIG;DEW;SLP;co;no2;pm25;fire_event
0;1/01/2024 0:00;2024;1;1;0;25.06;15;99999;5.6;1022.6;0.2;0.0076;1.8;0
1;1/01/2024 0:00;2024;1;1;0;26.72;21;6706;6;1022.6;0.2;0.0076;1.8;0
2;1/01/2024 1:00;2024;1;1;1;15.61;21;22000;6;1022.9;0.2;0.0076;1.8;0
3;1/01/2024 2:00;2024;1;1;2;15.61;15;6706;6;1023.2;0.3;0.017;3.6;0
4;1/01/2024 3:00;2024;1;1;3;12.28;21;99999;5.3;1023.2;0.6;0.0217;3.3;0
5;1/01/2024 3:00;2024;1;1;3;10.06;21;6706;5;1023.2;0.6;0.0217;3.3;0
6;1/01/2024 4:00;2024;1;1;4;10.06;15;6706;5;1023.3;0.5;0.0231;6;0
7;1/01/2024 5:00;2024;1;1;5;10.06;10;1463;5;1023.4;0.5;0.0238;9.8;0
8;1/01/2024 6:00;2024;1;1;6;3.94;21;99999;3.9;1023.4;0.6;0.0219;17.5;0
9;1/01/2024 6:00;2024;1;1;6;4.50;21;6706;4;1023.4;0.6;0.0219;17.5;0
10;1/01/2024 7:00;2024;1;1;7;15.61;15;6401;6;1023.3;0.6;0.023066667;18.16666667;0
11;1/01/2024 8:00;2024;1;1;8;4.50;21;6401;4;1023.4;0.6;0.024233333;18.83333333;0
12;1/01/2024 9:00;2024;1;1;9;8.39;15;99999;4.7;1023.9;0.6;0.0254;19.5;0
13;1/01/2024 9:00;2024;1;1;9;10.06;15;6096;5;1023.9;0.6;0.0254;19.5;0
14;1/01/2024 10:00;2024;1;1;10;4.50;10;1524;4;1024.4;0.6;0.0224;13.4;0
15;1/01/2024 11:00;2024;1;1;11;10.06;10;518;5;1024.3;0.6;0.018;14;0
16;1/01/2024 12:00;2024;1;1;12;1.72;21;22000;3.5;1023.9;0.7;0.019;13;0
17;1/01/2024 12:00;2024;1;1;12;4.50;21;22000;4;1023.9;0.7;0.019;13;0
18;1/01/2024 12:12;2024;1;1;12;-1.06;21;22000;3;1023.8;0.7;0.01898;12.12;0
19;1/01/2024 12:26;2024;1;1;12;-1.06;15;762;3;1023.7;0.7;0.01896;11.24;0
20;1/01/2024 12:39;2024;1;1;12;-1.06;26;732;3;1023.7;0.7;0.01894;10.36;0
21;1/01/2024 12:45;2024;1;1;12;-1.06;26;488;3;1023.6;0.7;0.01892;9.48;0
22;1/01/2024 13:00;2024;1;1;13;-6.61;26;488;2;1023.6;0.7;0.0189;8.6;0
23;1/01/2024 13:38;2024;1;1;13;4.50;26;213;4;1023.8;0.6;0.0189;8;0
24;1/01/2024 14:00;2024;1;1;14;4.50;26;152;4;1023.8;0.5;0.0189;7.4;0
25;1/01/2024 14:04;2024;1;1;14;4.50;26;183;4;1023.8;0.45;0.018975;6.875;0
26;1/01/2024 14:15;2024;1;1;14;4.50;26;91;4;1023.7;0.4;0.01905;6.35;0
27;1/01/2024 14:48;2024;1;1;14;-1.06;26;183;3;1023.7;0.35;0.019125;5.825;0
28;1/01/2024 15:00;2024;1;1;15;-1.61;21;22000;2.9;1023.6;0.3;0.0192;5.3;0
29;1/01/2024 15:00;2024;1;1;15;-1.06;10;152;3;1023.6;0.3;0.0192;5.3;0
30;1/01/2024 16:00;2024;1;1;16;-12.17;21;7315;1;1023.4;0.3;0.0185;3.7;0
31;1/01/2024 16:07;2024;1;1;16;-6.61;21;22000;2;1023.4;0.3;0.018175;3.575;0
32;1/01/2024 16:54;2024;1;1;16;-12.17;21;7315;1;1024;0.3;0.01785;3.45;0
33;1/01/2024 16:58;2024;1;1;16;-12.17;21;152;1;1024;0.3;0.017525;3.325;0
34;1/01/2024 17:00;2024;1;1;17;-12.17;21;152;1;1024;0.3;0.0172;3.2;0
35;1/01/2024 17:37;2024;1;1;17;-6.61;10;30;2;1024.6;0.3;0.016725;3.3;0
36;1/01/2024 17:50;2024;1;1;17;-6.61;0;152;2;1024.6;0.3;0.01625;3.4;0
37;1/01/2024 17:53;2024;1;1;17;-6.61;0;152;2;1024.7;0.3;0.015775;3.5;0
38;1/01/2024 18:00;2024;1;1;18;-6.06;0;99999;2.1;1024.7;0.3;0.0153;3.6;0
39;1/01/2024 18:00;2024;1;1;18;-6.61;10;22000;2;1024.7;0.3;0.0153;3.6;0
40;1/01/2024 18:06;2024;1;1;18;-6.61;10;22000;2;1024.8;0.35;0.0164;5.4;0
41;1/01/2024 19:00;2024;1;1;19;4.50;10;1768;4;1024.6;0.4;0.0175;7.2;0
42;1/01/2024 19:24;2024;1;1;19;4.50;26;1768;4;1024.5;0.5;0.0261;9.15;0
43;1/01/2024 20:00;2024;1;1;20;10.06;10;1768;5;1024;0.6;0.0347;11.1;0
44;1/01/2024 21:00;2024;1;1;21;11.72;10;99999;5.3;1023.6;0.4;0.0255;6.9;0
45;1/01/2024 21:00;2024;1;1;21;10.06;0;1859;5;1023.6;0.4;0.0255;6.9;0
46;1/01/2024 22:00;2024;1;1;22;15.61;21;7315;4;1023.5;0.4;0.0235;8.8;0
47;1/01/2024 23:00;2024;1;1;23;15.61;0;7010;5;1022.8;0.4;0.0259;6.7;0
48;2/01/2024 0:00;2024;1;2;0;14.50;0;99999;4.6;1022.8;0.4;0.0248;8.6;0
49;2/01/2024 0:00;2024;1;2;0;15.61;0;1798;5;1022.8;0.4;0.0248;8.6;0
50;2/01/2024 1:00;2024;1;2;1;4.50;26;7315;4;1023;0.5;0.0281;9.5;0
51;2/01/2024 2:00;2024;1;2;2;10.06;10;1859;5;1022.2;0.4;0.0228;8;0
52;2/01/2024 3:00;2024;1;2;3;12.83;21;99999;4.4;1021.7;0.6;0.0229;10.1;0
53;2/01/2024 3:00;2024;1;2;3;15.61;26;1707;4;1021.7;0.6;0.0229;10.1;0
54;2/01/2024 4:00;2024;1;2;4;10.06;15;4572;4;1021.3;0.7;0.0242;18.1;0
55;2/01/2024 5:00;2024;1;2;5;10.06;10;5182;5;1021.1;0.6;0.0229;13.7;0
